NB.SI;CATEGORIE;DESIGNATION;MATRICULE;DATE ENTREE;PANNE DECLAREE;SIT.ACTUELLE;PIECES;DATE SORTIE;INTERVENANT;AFFECTATION;NBR INDISPONIBILITE;JOUR OUVRABLE;RATIO;JOUR DISPONIBILITE;RATIO2; TYPE DE PANNE ;
00744-213-40/2;TRANS/BENNE;CAMION A BENNE C260 6X4 BN-14 DAEWOO  003459-213-16;00744-213-40;08/05/2024;fuite du carburant;Réparée;soudure des tuyaux d'injection;09/05/2024;Gharib,med;PARC;2;22;0,09;20;90,91%;mécanique;
000872-513-16/1;TRANS/MARCHANDISE;TRACTEUR ROUTIER (FOREMHYD)    000872-513-16;000872-513-16;09/05/2024;blocage de la roue AR;Réparée;tambour - jeu de garniture de frein;11/05/2024;Youcefi,S;FOREMHYD;1;22;0,05;21;95,45%;mécanique;
097466-114-16/8;LEGER;RENAULT TRAFIC (FOREMHYD) 097466-114-16;097466-114-16;12/05/2024;rupture de la courroie de distribution;Réparée;02 soupapes - 01 poulie - kit joint guide soupape - 01 courroie de distribution - 01 courroie alternateur;27/05/2024;Sekakra,Dj;MGX;12;22;0,55;10;45,45%;mécanique;
00744-213-40/3;TRANS/BENNE;CAMION A BENNE C260 6X4 BN-14 DAEWOO  003459-213-16;00744-213-40;12/05/2024;boulon d'assemblage cassé;Réparée;boulon d'assemblage;18/05/2024;Youcefi,S;PARC;5;22;0,23;17;77,27%;mécanique;
02161-413-40/4;TRANS/PERSONNEL;MINI BUS/01 MITSUBISHI 02166-413-40;02161-413-40;13/05/2024;probleme de freinage;Réparée;02 garniture de frein;16/05/2024;;MGX;4;22;0,18;18;81,82%;mécanique;
051-01249-40/10;MANITENTION;GRUE SUR PNEU SANY QY25 SANY 051-01249-40;051-01249-40;13/05/2024;fuite carburant;Réparée;flexible;13/05/2024;;;1;22;0,05;21;95,45%;mécanique;
00145-105-40/10;LEGER;HONDA CIVIC 00145-105-40;00145-105-40;13/05/2024;surchauffe moteur;En Cours;moteur HS;En Cours;Youcefi,S;MGX;En cours;22;En cours;0;100%;mécanique;
02161-413-40/5;TRANS/PERSONNEL;MINI BUS/01 MITSUBISHI 02166-413-40;02161-413-40;19/05/2024;problème electrique;Réparée;batterie 12V 95AM;20/05/2024;Marir,R;MGX;2;22;0,09;20;90,91%;électrique;
00585-205-40/1;TRANS/BENNE;CAMION A BENNE BN-10 DAEWOO  004024-205-16;00585-205-40;19/05/2024;problème electrique/cours circuit;Réparée;réparation files électrique surchauffés - réparation alternateur;20/05/2024;Marir,R;PARC;2;22;0,09;20;90,91%;électrique;
00011-203-40/3;TRANS/BENNE;CAMION A BENNE K66 BN-03 DAEWOO  02166-203-16;00011-203-40;20/05/2024;fuite d'air comprimé;Réparée;confection flexible air comprimé;20/05/2024;Youcefi,S;PARC;1;22;0,05;21;95,45%;mécanique;
568-187-40/2;COMPACTAGE;COMPACTEUR SP 54 ENMTP 568-187-40;568-187-40;21/05/2024;fuite huile hydraulique pompe hydraulique défectueuse;Réparée;pompe hydraulique -  (réf: 16 - 319218202 - 027) - poulie - réparation support de Pompe Hyd (Tourneur) -  batterie 12V;24/07/2024;Sekakra,Dj;PARC;47;22;2,14;0;100%;mécanique;
00356-106-40/4;LEGER;TOYOTA ECHO 00356-106-40;00356-106-40;21/05/2024;mauvais freinage;Réparée;plaquette de frein;21/05/2024;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
02326-115-40/11;LEGER;NISSAN SUNNY 02326-115-40;02326-115-40;21/05/2024;mauvais freinage;Réparée;mâchoire de frein AR;22/05/2024;Djeridi,A;MGX;2;22;0,09;20;90,91%;mécanique;
057665-119-16/4;LEGER;RENAULT SYMBOLE 057665-119-16;057665-119-16;22/05/2024;mauvais freinage;Réparée;plaquette de frein;22/05/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
042-01239-40/1;ENGIN TERRASSEM;RETROCHARGEUR 422E CATERPILLAR 042-01239-40;042-01239-40;22/05/2024;problème pneumatique;Réparée;changement de pneu AR (16,5/18);22/05/2024;Externe;PARC;1;22;0,05;21;95,45%;autres;
00379-305-40/9;LEGER;MITSUBISHI PICK UP 00379-305-40;00379-305-40;26/05/2024;rampe culbuteur cassée;Réparée;rampe culbuteur - palier pour rampe culbuteur ;28/05/2024;Youcefi,S;MGX;3;22;0,14;19;86,36%;mécanique;
