NB.SI;CATEGORIE;DESIGNATION;MATRICULE;DATE ENTREE;PANNE DECLAREE;SIT.ACTUELLE;PIECES;DATE SORTIE;INTERVENANT;AFFECTATION;NBR INDISPONIBILITE;JOUR OUVRABLE;RATIO;JOUR DISPONIBILITE;RATIO2; TYPE DE PANNE ;
02326-115-40/14;LEGER;NISSAN SUNNY 02326-115-40;02326-115-40;21/10/2024;passage de vitesses difficile;Réparée;mécanisme d'embrayage;23/10/2024;Youcefi,S;MGX;3;22;0,14;19;86,36%;mécanique;
CB1441/2;OUTILLAGE DIVERS;CISAILLE ELECTRIQUE  CB1441;CB1441;23/10/2024;fuite de l'huile;Réparée;soudure d'une pièce métallique (tourneur) - rectification pignon;27/10/2024;Sekakra,Dj;P,UNIVERSITE;3;22;0,14;19;86,36%;mécanique;
02166-413-40/4;TRANS/PERSONNEL;MINI BUS/02 MITSUBISHI 02161-413-40;02166-413-40;26/10/2024;fuite de l'huile passage de vitesses difficile;Réparée;joint SPI - joint cache culbuteur - mécanisme d'Embrayage  -  butée - ;26/10/2024;Sekakra,Dj;MGX;1;22;0,05;21;95,45%;mécanique;
02041-112-40/3;LEGER;NISSAN SUNNY 02041-112-40;02041-112-40;27/10/2024;mauvais freinage;Réparée;plaquette de frein AV;26/10/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
00151-106-40/10;LEGER;RENAULT KANGOO 00151-106-40;00151-106-40;28/10/2024;problème électrique;Réparée;changement F/AIR - relais 12V filtre a air;28/10/2024;Marir,R;MGX;1;22;0,05;21;95,45%;électrique;
02654-313-40/8;LEGER;MITSUBISHI L200 02654-313-40;02654-313-40;29/10/2024;suspension usée;Réparée;02 changement de pneu  -  réglage de frein  -  02 goujon de roue  -  02 plaquette de frein;04/11/2024;Youcefi,S;MGX;5;22;0,23;17;77,27%;autres;
00934-309-40/5;LEGER;MITSUBISHI PICK UP 00934-309-40;00934-309-40;29/10/2024;pompe d'embrayage défectueuse;Réparée;02 pompe d'embrayage;03/11/2024;Djeridi,A;MGX;4;22;0,18;18;81,82%;mécanique;
00200-104-40/15;LEGER;RENAULT CLIO 00200-104-40;00200-104-40;29/10/2024;courroie alternateur usée;Réparée;changement de - courroie alternateur réf:5PK1747 - changement de vase lave glass - thermostat;29/10/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
02161-413-40/6;TRANS/PERSONNEL;MINI BUS/01 MITSUBISHI 02166-413-40;02161-413-40;03/11/2024;vibration a l'avant du bus et mauvais freinage;Réparée;changement de 04 garniture de frein AV - AR 02 bague pour axe moyeu de roue 04 coupelle 04 piston d'étrier de frein AR rectification tambour de frein démontage/montage de bagues 01 pneu  -  chambre a air;06/11/2024;Djeridi,A;MGX;4;22;0,18;18;81,82%;autres;
042-01468-40/5;ENGIN TERRASSEM;PELLE SUR PNEU M315D CATERPILLAR 042-01468-40;042-01468-40;03/11/2024;tuyau de carburant défectueux;Réparée;tuyau carburant - 05 dent de godet;04/11/2024;Sekakra,Dj;PARC;2;22;0,09;20;90,91%;mécanique;
02663-313-40/8;LEGER;PEUGEOT EXPERT 02663-313-40;02663-313-40;04/11/2024;fuite liquide refroidissement;Réparée;remplacement de durite;04/11/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
00160-509-40/4;TRANS/MARCHANDISE;TRACTER ROUTIER  DAEWOO  002483-509-16;00160-509-40;05/11/2024;mécanisme d'embrayage défectueux;Réparée;mécanisme d'embrayage;05/11/2024;Sekakra,Dj;PARC;1;22;0,05;21;95,45%;mécanique;
00585-205-40/3;TRANS/BENNE;CAMION A BENNE BN-10 DAEWOO  004024-205-16;00585-205-40;07/11/2024;le camion ne demarre pas;Réparée;remplacement démarreur;14/11/2024;Marir,R;P,BEJAIA;6;22;0,27;16;72,73%;électrique;
02009-410-40/6;TRANS/PERSONNEL;MINI BUS/03 HYUNDAI 02009-410-40;02009-410-40;10/11/2024;suspension;Réparée;changement de 04 garniture de frein AV - AR  -  02 bague pour axe moyeu de roue  -  01 pompe de frein  -  joint SPI 70/112/18  -  roulement 3007  -  roulement 30010;14/11/2024;Youcefi,S;P,BEJAIA;5;22;0,23;17;77,27%;mécanique;
00160-509-40/5;TRANS/MARCHANDISE;TRACTER ROUTIER  DAEWOO  002483-509-16;00160-509-40;11/11/2024;tige de selcteur de vitesse cassée;Réparée;soudure de la tige de sélecteur de vitesse;11/11/2024;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
042-01210-40/3;ENGIN TERRASSEM;RETROCHARGEUR 428C CATERPILLAR 042-01210-40;042-01210-40;11/11/2024;fuite de l'huile hydraulique;Réparée;réparation 03 vérins  -  Batterie 12V;08/12/2024;Sekakra,Dj;PARC;20;22;0,91;2;9,09%;mécanique;
00011-203-40/6;TRANS/BENNE;CAMION A BENNE K66 BN-03 DAEWOO  02166-203-16;00011-203-40;17/11/2024;le camionne démarre pas;Réparée;bendix remplacé;19/11/2024;Marir,R;PARC;3;22;0,14;19;86,36%;électrique;
CB3361/2;AIR COMPRIME;COMPRESSEUR D'AIR D45-D ENMTP CB3361;CB3361;18/11/2024;le compresseur ne demarre pas;Dépanné;électrovanne défectueuse;18/11/2024;Djeridi,A;P,MATERNITE;1;22;0,05;21;95,45%;mécanique;
CB1473/3;OUTILLAGE DIVERS;CISAILLE ELECTRIQUE MOBILE REBAR MACA CB1473;CB1473;18/11/2024;fuite de l'huile;Dépanné;indéterminée;18/11/2024;Djeridi,A;P,MATERNITE;1;22;0,05;21;95,45%;mécanique;
00051-307-40/7;LEGER;MITSUBISHI PICK UP 00051-307-40;00051-307-40;19/11/2024;alternateur défectueux;Réparée;alternateur déparé;19/11/2024;Marir,R;MGX;1;22;0,05;21;95,45%;électrique;
568-187-40/3;COMPACTAGE;COMPACTEUR SP 54 ENMTP 568-187-40;568-187-40;19/11/2024;fuite de l'huile hydraulique;Réparée;flexible confectionné  -  batterie 12V  -  pompette gasoil ;24/11/2024;Sekakra,Dj;PARC;4;22;0,18;18;81,82%;mécanique;
02166-413-40/5;TRANS/PERSONNEL;MINI BUS/02 MITSUBISHI 02161-413-40;02166-413-40;19/11/2024;consommation de l'huile;Réparée;révision moteur Joint SPI vilebrequin - Pompe a l’Huile - Cale latérale Vilebrequin - Piston - Segment - Pochette de joint - Coussinet bielle - Cousinet palier - Joint cache soupape - Pipe d’Eau - Pompe à Eau - Joint Carter;22/01/2025;Youcefi,S;MGX;47;22;2,14;0;100%;mécanique;
00586-205-40/4;TRANS/BENNE;CAMION A BENNE BN-09 DAEWOO  004020-205-16;00586-205-40;19/11/2024;mauvais frainage;Réparée;04 garniture  -  04 silent bloc  -  04 goujon de roue  -  démontage et montage de silent bloc  -  04 rectification tambour;25/11/2024;Djeridi,A;PARC;5;22;0,23;17;77,27%;mécanique;
041-01296-40/6;ENGIN TERRASSEM;NIVELEUSE GD661 KOMATSU 041-01296-40;041-01296-40;20/11/2024;l'engin ne démarre pas;Réparée;démarreur défectueux;24/11/2024;inconnu;PARC;3;22;0,14;19;86,36%;mécanique;
042-01468-40/6;ENGIN TERRASSEM;PELLE SUR PNEU M315D CATERPILLAR 042-01468-40;042-01468-40;25/11/2024;altérnateur défectueux;Réparée;réparation alternateur;26/11/2024;Marir,R;PARC;2;22;0,09;20;90,91%;électrique;
00790-213-40/4;TRANS/BENNE;CAMION A BENNE C260 6X3 BN-13 DAEWOO  003461-213-16;00790-213-40;25/11/2024;panne électrique;Réparée;réparation alternateur;27/11/2024;Marir,R;PARC;3;22;0,14;19;86,36%;électrique;
02184-512-40/6;TRANS/MARCHANDISE;TRACTER ROUTIER   6X4 DAEWOO  001637-512-16;02184-512-40;26/11/2024;surchauffe moteur;Réparée;révision moteur servo d'embrayage;16/03/2025;Gharib,med;PARC;79;22;3,59;0;100%;mécanique;
00379-305-40/10;LEGER;MITSUBISHI PICK UP 00379-305-40;00379-305-40;27/11/2024;courroie usée;Réparée;kit chaine distribution  Chaine distribution MD 300470  -   Chaine Balancier MD 310484  -  Tendeur Courroie Balancer MD05012  - Tendeur chaine K6122  -  Joint SPI 70/112/18I  -  01 courroie 12,5x1075  -  joint cache culbuteur(compteur 593604);27/11/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
00101-300-40/9;LEGER;PEUGEOT EXPERT 00101-300-40;00101-300-40;28/11/2024;Le Véhicule ne démarre pas;Réparée;électrovanne défectueuse;01/12/2024;Sekakra,Dj;MGX;2;22;0,09;20;90,91%;mécanique;
02041-112-40/4;LEGER;NISSAN SUNNY 02041-112-40;02041-112-40;28/11/2024;triangle cassé;Réparée;changement de triangle;28/11/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
01714-112-40/6;LEGER;NISSAN SUNNY 01714-112-40;01714-112-40;28/11/2024;bruit a l'avant du véhicule;Dépanné;indéterminée;28/11/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
02326-115-40/15;LEGER;NISSAN SUNNY 02326-115-40;02326-115-40;28/11/2024;boite de vitesses defectueuse;Réparée;indéterminée;04/12/2024;externe;MGX;5;22;0,23;17;77,27%;mécanique;
568-187-40/4;COMPACTAGE;COMPACTEUR SP 54 ENMTP 568-187-40;568-187-40;28/11/2024;pompe hydraulique défectueuse;Réparée;réparation 03 pompes hydraulique - réparation démarreur;15/01/2025;Sekakra,Dj;PARC;35;22;1,59;0;100%;mécanique;
00585-205-40/4;TRANS/BENNE;CAMION A BENNE BN-10 DAEWOO  004024-205-16;00585-205-40;28/11/2024;mécanisme d'enmbrayage;Réparée;mécanisme d'embrayage;03/12/2024;Gharib,med;MGX;4;22;0,18;18;81,82%;mécanique;
02441-209-40/6;TRANS/PERSONNEL;CAMION HD65 HYUNDAI 007995-209-16;02441-209-40;30/11/2024;panne élctrique;Réparée;appareil clignotant 12V;30/11/2024;Marir,R;CAB;1;22;0,05;21;95,45%;électrique;
00151-106-40/11;LEGER;RENAULT KANGOO 00151-106-40;00151-106-40;01/12/2024;panne électrique;Réparée;Relai 12V  -  remplacement alternateur;23/12/2024;Marir,R;MGX;17;22;0,77;5;22,73%;électrique;
007180-124-16/1;;;007180-124-16;04/12/2024;bruit anormal roue AV;Réparée;roulement de roue AV  -  joint SPI  -  changement de 02 pneu + équilibrage;09/12/2024;externe;MGX;4;22;0,18;18;81,82%;autres;
01103-110-40/4;LEGER;TOYOTA COROLLA 01103-110-40;01103-110-40;04/12/2024;courroie de distribution usée;Réparée;Kit chaine distribution (réf: )   -  03 courroie accessoire (compteur 671205)  -  F,Gasoil;04/12/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
052-00775-40/13;MANITENTION;GRUE SUR PNEU 1025 ENMTP 052-00775-40;052-00775-40;05/12/2024;passage de vitesse difficile;Réparée;réglage câble de levier de vitesse;05/12/2024;Sekakra,Dj;P,FESDIS;1;22;0,05;21;95,45%;mécanique;
00106-102-40/6;LEGER;HYUNDAI ACCENT 00106-102-40;00106-102-40;08/12/2024;Le Véhicule ne démarre pas - pompe d'alimentation carburant remplacée;Réparée;pompe d'alimentation carburant remplacée;11/12/2024;Youcefi,S;MGX;4;22;0,18;18;81,82%;mécanique;
02663-313-40/9;LEGER;PEUGEOT EXPERT 02663-313-40;02663-313-40;09/12/2024;fuite du liquide refroidissement;Réparée;pipe d'eau remplacée;09/12/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
003800-206-16/8;TRANS ET V, SPECIAUX  ;POMPE A BETON SCHWING 003800-206-16;003800-206-16;09/12/2024;l'engin ne démarre pas;Réparée;capteur de vitesse défectueux PSM réparé et ECU transmission remplacé;20/02/2025;externe;CAB;54;22;2,45;0;100%;mécanique;
00200-104-40/16;LEGER;RENAULT CLIO 00200-104-40;00200-104-40;10/12/2024;mauvais freinage;Réparée;disque de frein  -  plaquette de frein;10/12/2024;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
042-01210-40/4;ENGIN TERRASSEM;RETROCHARGEUR 428C CATERPILLAR 042-01210-40;042-01210-40;10/12/2024;fuite carburant;Réparée;tuyau carburant remplacé  -  04 joint torique;10/12/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
CB3283/4;TRANS/CHANTIER;DUMPER AURES L500 (CB3283) ENMTP CB3283;CB3283;10/12/2024;passage de vitesse difficile;Réparée;câble d'embrayage remplacé;11/12/2024;Youcefi,S;MGX;2;22;0,09;20;90,91%;mécanique;
00585-205-40/5;TRANS/BENNE;CAMION A BENNE BN-10 DAEWOO  004024-205-16;00585-205-40;10/12/2024;problème mécanique + problème électrique;Dépanné;indéterminée;10/12/2024;Sekakra,Dj;PARC;1;22;0,05;21;95,45%;électrique;
00378-105-40/7;LEGER;HONDA ACCORD 00378-105-40;00378-105-40;10/12/2024;mauvais freinage;Réparée;plaquette de frein remplacée - 05 L liquide refroidissement;30/12/2024;Youcefi,S;MGX;15;22;0,68;7;31,82%;mécanique;
007180-124-16/2;;;007180-124-16;10/12/2024;pneumatique;Réparée;montage 04 pneu - équilibrage 04 roue;10/12/2024;externe;MGX;1;22;0,05;21;95,45%;autres;
CB1523/3;GEG;GROUPE  ELECTROGENE 180 KVA VOLVO CB1523;CB1523;12/12/2024;le groupe ne démarre pas;Réparée;borne de batterie réparé;12/12/2024;Gharib,med;P,UNIVERSITE;1;22;0,05;21;95,45%;mécanique;
042-01210-40/5;ENGIN TERRASSEM;RETROCHARGEUR 428C CATERPILLAR 042-01210-40;042-01210-40;12/12/2024;fuite carburant - pompette gasoil défectueuse;Réparée;pompette gasoil remplacée - 04 BT liquide refroidissement;29/12/2024;Gharib,med;P,UNIVERSITE;12;22;0,55;10;45,45%;mécanique;
02292-112-40/3;LEGER;NISSAN SUNNY 02292-112-40;02292-112-40;15/12/2024;surchauffe moteur - joint de culasse défectueux;Réparée;culasse - joint de culasse - thermostat - liquide refroidissement - joint collecteur échappement - bouchon radiateur;27/05/2025;Youcefi,S;MGX;118;22;5,36;0;100%;mécanique;
203-890-40/3;TRANS ET V, SPECIAUX  ;COCOTTE A CIMENT 20T-01 SNVI 203-890-40;203-890-40;16/12/2024;mauvais freinage;Réparée;réglage freinage ;En Cours;Tamrabet,A;PARC;En cours;22;En cours;0;100%;mécanique;
CB3358/1;GEG;GROUPE  ELECTROGENE 50 KVA CB3358 VOLVO CB3358;CB3358;16/12/2024;manque de pression de huile;Dépanné;indéterminée;16/12/2024;Sekakra,Dj;P,CANAL;1;22;0,05;21;95,45%;mécanique;
042-330-40/5;ENGIN TERRASSEM;PELLE HD M318 CATERPILLAR 042-330-40;042-330-40;17/12/2024;fuite de l'huile hydraulique;Dépanné;vérins défectueux;17/12/2024;Sekakra,Dj;P,UNIVERSITE;1;22;0,05;21;95,45%;mécanique;
CB3283/5;TRANS/CHANTIER;DUMPER AURES L500 (CB3283) ENMTP CB3283;CB3283;17/12/2024;cable d'embrayage cassé;Réparée;câble d'embrayage remplacé;22/12/2024;Youcefi,S;P,UNIVERSITE;4;22;0,18;18;81,82%;mécanique;
02326-115-40/16;LEGER;NISSAN SUNNY 02326-115-40;02326-115-40;17/12/2024;problème de temperature ;Réparée;thermostat  -  04 l liquide refroidissement;17/12/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
02654-313-40/9;LEGER;MITSUBISHI L200 02654-313-40;02654-313-40;17/12/2024;rotule crémaillère défectueuse;Réparée;remplacement rotule  -  02 disque de frein;19/12/2024;Djeridi,A;MGX;3;22;0,14;19;86,36%;mécanique;
00111-505-40/5;TRANS/MARCHANDISE;TRACTER ROUTIER  MITSUBISHI 000935-505-16;00111-505-40;18/12/2024;mauvais freinage;Réparée;garniture de frein (01);22/12/2024;Youcefi,S;PARC;3;22;0,14;19;86,36%;mécanique;
01140-317-40/5;LEGER;VOLKSWAGEN  CADDY 01140-317-40;01140-317-40;19/12/2024;fuite de l'huile;Réparée;changement de filtre a huile;19/12/2024;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
042-01468-40/7;ENGIN TERRASSEM;PELLE SUR PNEU M315D CATERPILLAR 042-01468-40;042-01468-40;19/12/2024;fuite craburant;Réparée;tuyau gasoil remplacé;22/12/2024;Sekakra,Dj;PARC;2;22;0,09;20;90,91%;mécanique;
051-01340-40/8;MANITENTION;GRUE SUR PNEU SANY STC250 SANY 051-01340-40;051-01340-40;22/12/2024;injecteur défectueux;Réparée;révision moteur;26/02/2025;Gharib,med;P,BEJAIA;49;22;2,23;0;100%;mécanique;
SDMO/2;GEG;GROUPE ELECTROGENE 200 KVA SDMO;SDMO;23/12/2024;chute de tension électrique;En Cours;indéterminée  -  fuite de carburant;En Cours;Youcefi,S;P,MATERNITE;En cours;22;En cours;0;100%;électrique;
SDMO/3;GEG;GROUPE ELECTROGENE 200 KVA SDMO;SDMO;23/12/2024;l'engin ne démarre pas - problème d'alimentation en carburant (probablement une pompette défectueuse) - bouchon radiateur défectueux - chute de tension électrique;Réparée;liquide refroidissement  -  bouchon radiateur remplacé;25/12/2024;Youcefi,S;P,MATERNITE;3;22;0,14;19;86,36%;électrique;
042-330-40/6;ENGIN TERRASSEM;PELLE HD M318 CATERPILLAR 042-330-40;042-330-40;24/12/2024;liquide refroidissement;Réparée;changement liquide refroidissement;24/12/2024;Youcefi,S;PARC;1;22;0,05;21;95,45%;mécanique;
042-01210-40/6;ENGIN TERRASSEM;RETROCHARGEUR 428C CATERPILLAR 042-01210-40;042-01210-40;24/12/2024;liquide refroidissement;Réparée;changement liquide refroidissement;24/12/2024;Djeridi,A;PARC;1;22;0,05;21;95,45%;mécanique;
CB3270/1;;;CB3270;24/12/2024;batterie HS;Réparée;eau déminéralisée;25/12/2024;Abrouk,W;P,BEJAIA;2;22;0,09;20;90,91%;mécanique;
02663-313-40/10;LEGER;PEUGEOT EXPERT 02663-313-40;02663-313-40;26/12/2024;courroie cassé;Réparée;changement de courroie alternateur - réf 6PK1705 - 02 glaisière;30/12/2024;Youcefi,S;MGX;3;22;0,14;19;86,36%;mécanique;
JLL780E/1;GEG;GROUPE  ELECTROGENE 7 KVA essence JLL780E;JLL780E;29/12/2024;le groupe ne démarre pas;En Cours;bielle cassée;En Cours;Djeridi,A;P,RELIZANE;En cours;22;En cours;0;100%;mécanique;
00101-300-40/10;LEGER;PEUGEOT EXPERT 00101-300-40;00101-300-40;30/12/2024;pompe a eau défectueuse;Réparée;pompe a eau remplacée;14/01/2025;Sekakra,Dj;MGX;12;22;0,55;10;45,45%;mécanique;
CB0600/4;MANITENTION;GRUE POTIN 01 (N° 57733) POTIN CB0600;CB0600;30/12/2024;démontage moteur (moto-réducteur);Réparée;changement de moteur électrique;30/12/2024;Hoggas,M;P,MATERNITE;1;22;0,05;21;95,45%;mécanique;
CB1441/3;OUTILLAGE DIVERS;CISAILLE ELECTRIQUE  CB1441;CB1441;31/12/2024;lames de scie usées - fuite de l'huile;Dépanné;indéterminé;31/12/2024;Abrouk,W;P,BEJAIA;1;22;0,05;21;95,45%;mécanique;
042-01210-40/7;ENGIN TERRASSEM;RETROCHARGEUR 428C CATERPILLAR 042-01210-40;042-01210-40;06/01/2025;axe de bras AR défectueux;Réparée;remplacement de - axe de bras - bague - filtre gasoil;06/01/2025;Djeridi,A;PARC;1;22;0,05;21;95,45%;mécanique;
00801-111-40/5;LEGER;HYUNDAI HYUNDAI ACCENT 00801-111-40;00801-111-40;07/01/2025;mauvais frainage - bruit a l'AV du véhicule;Dépanné;vérification de frein;07/01/2024;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
01714-112-40/7;LEGER;NISSAN SUNNY 01714-112-40;01714-112-40;08/01/2025;Suspenssion usée;Réparée;remplacement de - 02 tasseau - 02 amortisseur AV - 02 garniture de frein AR;08/01/2025;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
042-01239-40/3;ENGIN TERRASSEM;RETROCHARGEUR 422E CATERPILLAR 042-01239-40;042-01239-40;09/01/2025;godet bloqué - fuite du liquide refroidissement;Réparée;réparation de - godet - changement durite - 05 BT liquide refroidissement;09/01/2025;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
052-00775-40/14;MANITENTION;GRUE SUR PNEU 1025 ENMTP 052-00775-40;052-00775-40;16/01/2025;panne électrique;Réparée;changement - 02 batterie 12V;16/01/2025;Marir,R;P,FESDIS;1;22;0,05;21;95,45%;électrique;
01250-711-40/2;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M1 HYUNDAY 000332-711-16;01250-711-40;19/01/2025;mauvais freinage;Réparée;réparation - valve d'air;19/01/2025;Gharib,med;CAB;1;22;0,05;21;95,45%;mécanique;
042-01468-40/8;ENGIN TERRASSEM;PELLE SUR PNEU M315D CATERPILLAR 042-01468-40;042-01468-40;19/01/2025;fuite de carburant;Réparée;remplacement - tuyau carburant;20/01/2025;Sekakra,Dj;PARC;2;22;0,09;20;90,91%;mécanique;
02683-212-40/2;;;02683-212-40;21/01/2025;boite de vitesses defectueuse;Dépanné;indéterminée;21/01/2025;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
00160-509-40/6;TRANS/MARCHANDISE;TRACTER ROUTIER  DAEWOO  002483-509-16;00160-509-40;21/01/2025;mauvais freinage;Réparée;remplacement - membrane piston de frein;21/01/2025;Youcefi,S;PARC;1;22;0,05;21;95,45%;mécanique;
02041-112-40/5;LEGER;NISSAN SUNNY 02041-112-40;02041-112-40;21/01/2025;pneumatique;Réparée;montage - 04 pneu - équilibrage 02 roue;21/01/2025;externe;MGX;1;22;0,05;21;95,45%;autres;
02655-313-40/7;LEGER;MITSUBISHI L200 02655-313-40;02655-313-40;21/01/2025;Suspenssion usée;Réparée;réparation-  suspension (Droite) - rectification disque de frein - changement plaquette de frein - lampe;21/01/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
00151-106-40/12;LEGER;RENAULT KANGOO 00151-106-40;00151-106-40;23/01/2025;passage de vitesse difficile (marche arrière);Réparée;changement - kit réparation levier de vitesse;23/01/2025;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
051-01249-40/12;MANITENTION;GRUE SUR PNEU SANY QY25 SANY 051-01249-40;051-01249-40;27/01/2025;la grue ne démarre pas;Réparée;réparation - injecteurs - réparation pompe HP;05/02/2025;Gharib,med;P,BEJAIA;8;22;0,36;14;63,64%;mécanique;
00160-509-40/7;TRANS/MARCHANDISE;TRACTER ROUTIER  DAEWOO  002483-509-16;00160-509-40;27/01/2025;mauvais freinage;Réparée;rremplacement - 02 tambour - 02 garniture de frein AR - rectification tambour;29/01/2025;Djeridi,A;PARC;3;22;0,14;19;86,36%;mécanique;
042-01210-40/8;ENGIN TERRASSEM;RETROCHARGEUR 428C CATERPILLAR 042-01210-40;042-01210-40;27/01/2025;fuite de l'huile hydraulique;Réparée;réparation - vérins godet;02/03/2025;Sekakra,Dj;PARC;25;22;1,14;0;100%;mécanique;
02166-413-40/6;TRANS/PERSONNEL;MINI BUS/02 MITSUBISHI 02161-413-40;02166-413-40;28/01/2025;panne électrique;Réparée;remplacement - alternateur;30/01/2025;Marir,R;MGX;3;22;0,14;19;86,36%;électrique;
02009-410-40/7;TRANS/PERSONNEL;MINI BUS/03 HYUNDAI 02009-410-40;02009-410-40;29/01/2025;passage de vitesse difficile ;Réparée;remplacement - mécanisme d'embrayage;15/02/2025;Abrouk,W;P,BEJAIA;12;22;0,55;10;45,45%;mécanique;
02326-115-40/17;LEGER;NISSAN SUNNY 02326-115-40;02326-115-40;30/01/2025;mauvais freinage;Réparée;réparation - nécessaire de frein a tambour AR;06/02/2025;Djeridi,A;MGX;6;22;0,27;16;72,73%;mécanique;
042-01468-40/9;ENGIN TERRASSEM;PELLE SUR PNEU M315D CATERPILLAR 042-01468-40;042-01468-40;02/02/2025;panne électrique;Réparée;réparation - alternateur;04/02/2025;Youcefi,S;PARC;3;22;0,14;19;86,36%;électrique;
00111-505-40/6;TRANS/MARCHANDISE;TRACTER ROUTIER  MITSUBISHI 000935-505-16;00111-505-40;03/02/2025;durite d'air déffectueuse;Réparée;remplacement - durite d'air;06/02/2025;Youcefi,S;P,UNIVERSITE;4;22;0,18;18;81,82%;mécanique;
CB1331/3;AIR COMPRIME;COMPRESSEUR M 57  KAESER CB1331;CB1331;03/02/2025;batterie HS;Réparée;réparation - pneu - changement de batterie;04/02/2025;Marir,R;P,UNIVERSITE;2;22;0,09;20;90,91%;électrique;
CB0301/2;GEG;GROUPE  DE SOUDURE DENYO CB0301;CB0301;04/02/2025;fuite carburant;Réparée;réparation - tuyau carburant;04/02/2025;Sekakra,Dj;P,UNIVERSITE;1;22;0,05;21;95,45%;mécanique;
MT-X1840/1;MANITENTION;CHARIOT TELESCOPIQUE CB1997 MANITOU MT-X1840;MT-X1840;04/02/2025;Rotule défectueuse;Réparée;réparation - rotule;17/02/2025;Youcefi,S;PARC;10;22;0,45;12;54,55%;mécanique;
02184-512-40/7;TRANS/MARCHANDISE;TRACTER ROUTIER   6X4 DAEWOO  001637-512-16;02184-512-40;05/02/2025;surconsommation carburant;Réparée;tarage injecteur;11/02/2025;Gharib,med;PARC;5;22;0,23;17;77,27%;mécanique;
00194-206-40/2;TRANS/PERSONNEL;CAMION HD65 HYUNDAI 003804-206-16;00194-206-40;10/02/2025;bruit a l'AV du camion;Réparée;remplacement -  2 roulement de roue - 01 joint d'étanchéité;10/02/2025;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
00051-307-40/8;LEGER;MITSUBISHI PICK UP 00051-307-40;00051-307-40;11/02/2025;fuite de l'huile moteur;Réparée;remplacement -  joint SPI;11/02/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
02663-313-40/11;LEGER;PEUGEOT EXPERT 02663-313-40;02663-313-40;11/02/2025;mélange huile/eau refroidisseur défectueux;Réparée;remplacement - refroidisseur (refroidisseur de l'ancien moteur);11/02/2025;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
00040-204-40/1;TRANS/PERSONNEL;SATATION D'ENTRETIEN MITSUBISHI 003094-204-16;00040-204-40;12/02/2025;rôtule direction défectueuse;Réparée;remplacement - 02 rotule direction - 02 garniture de frein AV;13/02/2025;Sekakra,Dj;PARC;2;22;0,09;20;90,91%;mécanique;
02326-115-40/18;LEGER;NISSAN SUNNY 02326-115-40;02326-115-40;13/02/2025;garniture de frein usées;Réparée;remplacement - garniture de frein;18/02/2025;Youcefi,S;MGX;4;22;0,18;18;81,82%;mécanique;
01103-110-40/5;LEGER;TOYOTA COROLLA 01103-110-40;01103-110-40;16/02/2025;courroie usée;Réparée;remplacement - courroie alternateur;16/02/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
00151-106-40/13;LEGER;RENAULT KANGOO 00151-106-40;00151-106-40;16/02/2025;passage de vitesse difficile;Réparée;remplacement - mécanisme d'embrayage;12/03/2025;Youcefi,S;MGX;19;22;0,86;3;13,64%;mécanique;
00152-899-40/3;TRANS ET V, SPECIAUX  ;COCOTTE A CIMENT 20T-02 SNVI 00152-899-40;00152-899-40;18/02/2025;pneumatique;Réparée;montage - 01 pneu - réparation 01 roue - contrôle de pression 06;18/02/2025;externe;PARC;1;22;0,05;21;95,45%;autres;
00356-106-40/6;LEGER;TOYOTA ECHO 00356-106-40;00356-106-40;20/02/2025;bruit a l'avant du véhicule;Réparée;réglage cardon;20/02/2025;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
000956-214-16/4;TRANS/BENNE 40;CAMION PLATEAU DAEWOO PL02 DAEWOO  000956-214-16;000956-214-16;20/02/2025;jumelle GA fissurée;Réparée;remplacement - jumelle  - modification des trous et bagues chez le tourneur;25/02/2025;Youcefi,S;PARC;4;22;0,18;18;81,82%;mécanique;
